network,post_type,date,time,content_url,caption
TikTok,video,2025-08-13,09:00,{{WK01_TT}},"Ever felt your mind betray you? Map it. Journal it. Break it. #healing #discipline #MindsetCoach #BeastOfMurCreations #MoldedFortitudeConsulting #holistic #getfit #heal"
Instagram,video,2025-08-15,11:00,{{WK01_IG}},"Ever felt your mind betray you? Map it. Journal it. Break it. #healing #discipline #MindsetCoach #BeastOfMurCreations #MoldedFortitudeConsulting #holistic #getfit #heal #MoldedFortitudeConsulting"
Facebook,video,2025-08-15,11:00,{{WK01_FB}},"Ever felt your mind betray you? Map it. Journal it. Break it. #healing #discipline #MindsetCoach #BeastOfMurCreations #MoldedFortitudeConsulting #holistic #getfit #heal Join us: [link]"
LinkedIn,video,2025-08-14,09:00,{{WK01_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-08-20,09:00,{{WK02_TT}},"Your anger is a tool. Master it. Freedom lives between stimulus and response. #healing #discipline #mindsetcoach"
Instagram,video,2025-08-22,11:00,{{WK02_IG}},"Your anger is a tool. Master it. Freedom lives between stimulus and response. #healing #discipline #mindsetcoach #MoldedFortitudeConsulting"
Facebook,video,2025-08-22,11:00,{{WK02_FB}},"Your anger is a tool. Master it. Freedom lives between stimulus and response. #healing #discipline #mindsetcoach Join us: [link]"
LinkedIn,video,2025-08-21,09:00,{{WK02_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-08-27,09:00,{{WK03_TT}},"Emotions are energy. Give them direction: one breath, one set, one rep."
Instagram,video,2025-08-29,11:00,{{WK03_IG}},"Emotions are energy. Give them direction: one breath, one set, one rep. #MoldedFortitudeConsulting"
Facebook,video,2025-08-29,11:00,{{WK03_FB}},"Emotions are energy. Give them direction: one breath, one set, one rep. Join us: [link]"
LinkedIn,video,2025-08-28,09:00,{{WK03_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-09-03,09:00,{{WK04_TT}},"Know yourself. Walk the Medicine Wheel. Stand centered."
Instagram,video,2025-09-05,11:00,{{WK04_IG}},"Know yourself. Walk the Medicine Wheel. Stand centered. #MoldedFortitudeConsulting"
Facebook,video,2025-09-05,11:00,{{WK04_FB}},"Know yourself. Walk the Medicine Wheel. Stand centered. Join us: [link]"
LinkedIn,video,2025-09-04,09:00,{{WK04_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-09-10,09:00,{{WK05_TT}},"Your body remembers what the mind avoids. Stretch, breathe, release."
Instagram,video,2025-09-12,11:00,{{WK05_IG}},"Your body remembers what the mind avoids. Stretch, breathe, release. #MoldedFortitudeConsulting"
Facebook,video,2025-09-12,11:00,{{WK05_FB}},"Your body remembers what the mind avoids. Stretch, breathe, release. Join us: [link]"
LinkedIn,video,2025-09-11,09:00,{{WK05_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-09-17,09:00,{{WK06_TT}},"Discipline is sacred. Each rep holds respect, courage, humility."
Instagram,video,2025-09-19,11:00,{{WK06_IG}},"Discipline is sacred. Each rep holds respect, courage, humility. #MoldedFortitudeConsulting"
Facebook,video,2025-09-19,11:00,{{WK06_FB}},"Discipline is sacred. Each rep holds respect, courage, humility. Join us: [link]"
LinkedIn,video,2025-09-18,09:00,{{WK06_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-09-24,09:00,{{WK07_TT}},"A micro‑rep becomes macro change. Hold the line."
Instagram,video,2025-09-26,11:00,{{WK07_IG}},"A micro‑rep becomes macro change. Hold the line. #MoldedFortitudeConsulting"
Facebook,video,2025-09-26,11:00,{{WK07_FB}},"A micro‑rep becomes macro change. Hold the line. Join us: [link]"
LinkedIn,video,2025-09-25,09:00,{{WK07_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-10-01,09:00,{{WK08_TT}},"In silence, your body speaks truth. Listen today."
Instagram,video,2025-10-03,11:00,{{WK08_IG}},"In silence, your body speaks truth. Listen today. #MoldedFortitudeConsulting"
Facebook,video,2025-10-03,11:00,{{WK08_FB}},"In silence, your body speaks truth. Listen today. Join us: [link]"
LinkedIn,video,2025-10-02,09:00,{{WK08_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-10-08,09:00,{{WK09_TT}},"Find your Ikigai. Move with purpose."
Instagram,video,2025-10-10,11:00,{{WK09_IG}},"Find your Ikigai. Move with purpose. #MoldedFortitudeConsulting"
Facebook,video,2025-10-10,11:00,{{WK09_FB}},"Find your Ikigai. Move with purpose. Join us: [link]"
LinkedIn,video,2025-10-09,09:00,{{WK09_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-10-15,09:00,{{WK10_TT}},"Discipline is the forge. Wake, train, journal, repeat."
Instagram,video,2025-10-17,11:00,{{WK10_IG}},"Discipline is the forge. Wake, train, journal, repeat. #MoldedFortitudeConsulting"
Facebook,video,2025-10-17,11:00,{{WK10_FB}},"Discipline is the forge. Wake, train, journal, repeat. Join us: [link]"
LinkedIn,video,2025-10-16,09:00,{{WK10_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
TikTok,video,2025-10-22,09:00,{{WK11_TT}},"From lost to legendary. Discipline is freedom."
Instagram,video,2025-10-24,11:00,{{WK11_IG}},"From lost to legendary. Discipline is freedom. #MoldedFortitudeConsulting"
Facebook,video,2025-10-24,11:00,{{WK11_FB}},"From lost to legendary. Discipline is freedom. Join us: [link]"
LinkedIn,video,2025-10-23,09:00,{{WK11_LI}},"Healing the Warrior Spirit blends trauma‑informed movement, cultural teachings, and disciplined practice."
TikTok,video,2025-10-29,09:00,{{WK12_TT}},"Overcome yourself. Every limit pushed is a prayer answered."
Instagram,video,2025-10-31,11:00,{{WK12_IG}},"Overcome yourself. Every limit pushed is a prayer answered. #MoldedFortitudeConsulting"
Facebook,video,2025-10-31,11:00,{{WK12_FB}},"Overcome yourself. Every limit pushed is a prayer answered. Join us: [link]"
LinkedIn,video,2025-10-30,09:00,{{WK12_LI}},"Directors & leaders: outcomes—retention, resilience, real habit change."
